ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:185.40.4.38,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:185.241.208.81,B:185.241.208.0/24,C:756135,D:2750405,E:,F:0,G:00-510,H:52.2299,I:21.0093,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:185.241.208.0/24,S:210558,T:1
A:27.255.75.198,B:27.255.64.0/18,C:1835841,D:1835841,E:,F:0,G:,H:37.5112,I:126.9741,J:200,K:AS,L:KR,M:,N:,O:,P:Asia/Seoul,Q:0,R:27.255.75.0/24,S:45382,T:1
A:51.38.225.46,B:51.38.224.0/20,C:3017382,D:3017382,E:,F:0,G:,H:48.8582,I:2.3387,J:500,K:EU,L:FR,M:,N:,O:,P:Europe/Paris,Q:1,R:51.38.0.0/16,S:16276,T:1
A:185.225.69.232,B:185.225.68.0/22,C:3054643,D:719819,E:,F:0,G:1011,H:47.5000,I:19.0412,J:20,K:EU,L:HU,M:BU,N:,O:,P:Europe/Budapest,Q:1,R:185.225.68.0/22,S:30836,T:1
A:91.203.145.116,B:91.203.144.0/22,C:703845,D:690791,E:,F:0,G:50000,H:48.0663,I:33.4955,J:100,K:EU,L:UA,M:12,N:,O:,P:Europe/Kyiv,Q:0,R:91.203.144.0/22,S:45045,T:1
A:23.155.8.104,B:23.155.8.0/24,C:5350734,D:6252001,E:,F:0,G:94539,H:37.5217,I:-121.9249,J:20,K:NA,L:US,M:CA,N:,O:807,P:America/Los_Angeles,Q:0,R:23.155.8.0/24,S:22296,T:1
A:209.141.32.181,B:209.141.32.0/19,C:5506956,D:6252001,E:,F:0,G:89119,H:36.1020,I:-115.1447,J:20,K:NA,L:US,M:NV,N:,O:839,P:America/Los_Angeles,Q:0,R:209.141.32.0/19,S:53667,T:1
A:5.104.86.6,B:5.104.84.0/22,C:1850147,D:2921044,E:,F:0,G:140-0001,H:35.6164,I:139.7425,J:20,K:AS,L:JP,M:13,N:,O:,P:Asia/Tokyo,Q:0,R:5.104.80.0/21,S:141995,T:1
A:23.137.253.27,B:23.137.253.0/24,C:6252001,D:6252001,E:,F:0,G:,H:37.7510,I:-97.8220,J:1000,K:NA,L:US,M:,N:,O:,P:America/Chicago,Q:0,R:23.137.248.0/21,S:210630,T:1
A:114.35.245.150,B:114.35.244.0/22,C:1668341,D:1668284,E:,F:0,G:,H:25.0530,I:121.5259,J:5,K:AS,L:TW,M:TPE,N:,O:,P:Asia/Taipei,Q:0,R:114.32.0.0/13,S:3462,T:1
A:107.189.30.49,B:107.189.30.0/24,C:2960313,D:6252001,E:,F:0,G:,H:49.7498,I:6.1661,J:20,K:EU,L:LU,M:,N:,O:,P:Europe/Luxembourg,Q:1,R:107.189.28.0/22,S:53667,T:1
A:107.189.29.184,B:107.189.28.0/23,C:2960316,D:6252001,E:,F:0,G:L-1341,H:49.6113,I:6.1294,J:20,K:EU,L:LU,M:LU,N:,O:,P:Europe/Luxembourg,Q:1,R:107.189.28.0/22,S:53667,T:1
A:185.40.4.132,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:185.40.4.149,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:45.141.215.17,B:45.141.215.0/24,C:756135,D:2750405,E:,F:0,G:00-510,H:52.2299,I:21.0093,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:45.141.215.0/24,S:210558,T:1
A:45.141.215.19,B:45.141.215.0/24,C:756135,D:2750405,E:,F:0,G:00-510,H:52.2299,I:21.0093,J:20,K:EU,L:PL,M:14,N:,O:,P:Europe/Warsaw,Q:1,R:45.141.215.0/24,S:210558,T:1
A:103.164.54.199,B:103.164.54.0/23,C:1880252,D:1880251,E:,F:0,G:53,H:1.3552,I:103.8859,J:20,K:AS,L:SG,M:,N:,O:,P:Asia/Singapore,Q:0,R:103.164.54.0/23,S:141995,T:1
A:130.193.10.21,B:130.193.10.0/24,C:3067696,D:3077311,E:,F:0,G:130 00,H:50.0948,I:14.4785,J:20,K:EU,L:CZ,M:10,N:,O:,P:Europe/Prague,Q:1,R:130.193.8.0/21,S:29134,T:1
